,NOC,Sport,count
737,CIV,Taekwondo,8
738,CIV,Tennis,3
739,CIV,Wrestling,2
740,CMR,Athletics,97
741,CMR,Boxing,42
742,CMR,Cross Country Skiing,2
743,CMR,Cycling,28
744,CMR,Football,67
745,CMR,Judo,22
746,CMR,Rowing,2
747,CMR,Swimming,5
748,CMR,Table Tennis,2
749,CMR,Volleyball,10
750,CMR,Weightlifting,11
751,CMR,Wrestling,24
752,COD,Athletics,34
753,COD,Basketball,12
754,COD,Boxing,14
755,COD,Cycling,18
756,COD,Judo,9
757,COD,Swimming,1
758,COD,Table Tennis,4
759,COD,Taekwondo,1
760,COK,Athletics,14
761,COK,Boxing,3
762,COK,Canoeing,5
763,COK,Sailing,5
764,COK,Swimming,5
765,COK,Weightlifting,8
766,COL,Alpine Skiing,2
767,COL,Archery,17
768,COL,Art Competitions,1
769,COL,Athletics,208
770,COL,Boxing,47
771,COL,Cycling,193
772,COL,Diving,24
773,COL,Equestrianism,19
774,COL,Fencing,62
775,COL,Football,120
776,COL,Golf,1
777,COL,Gymnastics,37
778,COL,Judo,12
779,COL,Rowing,1
780,COL,Rugby Sevens,12
781,COL,Sailing,6
782,COL,Shooting,63
783,COL,Swimming,123
784,COL,Synchronized Swimming,2
785,COL,Table Tennis,3
786,COL,Taekwondo,9
787,COL,Tennis,15
788,COL,Triathlon,3
789,COL,Tug-Of-War,1
790,COL,Weightlifting,65
791,COL,Wrestling,23
792,COM,Athletics,14
793,COM,Swimming,4
794,COM,Weightlifting,1
795,CPV,Athletics,11
796,CPV,Boxing,2
797,CPV,Judo,1
798,CPV,Rhythmic Gymnastics,3
799,CPV,Taekwondo,1
800,CRC,Alpine Skiing,15
801,CRC,Archery,5
802,CRC,Athletics,41
803,CRC,Beach Volleyball,2
804,CRC,Biathlon,2
805,CRC,Boxing,3
806,CRC,Canoeing,6
807,CRC,Cross Country Skiing,7
808,CRC,Cycling,20
809,CRC,Diving,2
810,CRC,Fencing,2
811,CRC,Football,47
812,CRC,Judo,16
813,CRC,Shooting,25
814,CRC,Swimming,60
815,CRC,Taekwondo,3
816,CRC,Tennis,1
817,CRC,Triathlon,3
818,CRC,Weightlifting,4
819,CRO,Alpine Skiing,93
820,CRO,Athletics,64
821,CRO,Basketball,58
822,CRO,Biathlon,9
823,CRO,Bobsleigh,14
824,CRO,Boxing,8
825,CRO,Canoeing,26
826,CRO,Cross Country Skiing,46
827,CRO,Cycling,8
828,CRO,Diving,1
829,CRO,Equestrianism,2
830,CRO,Fencing,1
831,CRO,Figure Skating,5
832,CRO,Gymnastics,25
833,CRO,Handball,89
834,CRO,Judo,3
835,CRO,Rowing,46
836,CRO,Sailing,44
837,CRO,Shooting,47
838,CRO,Skeleton,1
839,CRO,Snowboarding,1
840,CRO,Swimming,106
841,CRO,Table Tennis,36
842,CRO,Taekwondo,10
843,CRO,Tennis,37
