,Weight,Sport,count
824,61.0,Boxing,20
825,61.0,Canoeing,51
826,61.0,Cross Country Skiing,162
827,61.0,Curling,12
828,61.0,Cycling,128
829,61.0,Diving,41
830,61.0,Equestrianism,56
831,61.0,Fencing,77
832,61.0,Figure Skating,17
833,61.0,Football,73
834,61.0,Freestyle Skiing,24
835,61.0,Golf,2
836,61.0,Gymnastics,663
837,61.0,Handball,23
838,61.0,Hockey,93
839,61.0,Ice Hockey,17
840,61.0,Judo,20
841,61.0,Luge,16
842,61.0,Modern Pentathlon,13
843,61.0,Nordic Combined,31
844,61.0,Rhythmic Gymnastics,1
845,61.0,Rowing,22
846,61.0,Rugby Sevens,4
847,61.0,Sailing,59
848,61.0,Shooting,84
849,61.0,Short Track Speed Skating,34
850,61.0,Skeleton,6
851,61.0,Ski Jumping,71
852,61.0,Snowboarding,27
853,61.0,Softball,16
854,61.0,Speed Skating,148
855,61.0,Swimming,477
856,61.0,Synchronized Swimming,28
857,61.0,Table Tennis,19
858,61.0,Taekwondo,2
859,61.0,Tennis,37
860,61.0,Trampolining,5
861,61.0,Triathlon,19
862,61.0,Volleyball,31
863,61.0,Water Polo,19
864,61.0,Weightlifting,5
865,61.0,Wrestling,33
866,61.5,Biathlon,5
867,61.5,Cross Country Skiing,6
868,61.5,Swimming,3
869,61.5,Wrestling,2
870,62.0,Alpine Skiing,196
871,62.0,Archery,56
872,62.0,Athletics,1103
873,62.0,Badminton,49
874,62.0,Baseball,1
875,62.0,Basketball,37
876,62.0,Beach Volleyball,12
877,62.0,Biathlon,122
878,62.0,Bobsleigh,3
879,62.0,Boxing,33
880,62.0,Canoeing,90
881,62.0,Cross Country Skiing,196
882,62.0,Curling,11
883,62.0,Cycling,181
884,62.0,Diving,95
885,62.0,Equestrianism,114
886,62.0,Fencing,128
887,62.0,Figure Skating,23
888,62.0,Football,126
889,62.0,Freestyle Skiing,35
890,62.0,Golf,2
891,62.0,Gymnastics,804
892,62.0,Handball,59
893,62.0,Hockey,160
894,62.0,Ice Hockey,37
895,62.0,Judo,23
896,62.0,Luge,16
897,62.0,Modern Pentathlon,19
898,62.0,Nordic Combined,66
899,62.0,Rhythmic Gymnastics,3
900,62.0,Rowing,27
901,62.0,Rugby Sevens,3
902,62.0,Sailing,105
903,62.0,Shooting,97
904,62.0,Short Track Speed Skating,61
905,62.0,Skeleton,4
906,62.0,Ski Jumping,103
907,62.0,Snowboarding,28
908,62.0,Softball,16
909,62.0,Speed Skating,148
910,62.0,Swimming,603
911,62.0,Synchronized Swimming,26
912,62.0,Table Tennis,75
913,62.0,Taekwondo,8
914,62.0,Tennis,69
915,62.0,Trampolining,8
916,62.0,Triathlon,18
917,62.0,Volleyball,62
918,62.0,Water Polo,31
919,62.0,Weightlifting,86
920,62.0,Wrestling,233
921,62.5,Athletics,2
922,62.5,Modern Pentathlon,3
923,62.5,Nordic Combined,2
924,62.5,Shooting,4
925,62.5,Wrestling,1
926,63.0,Alpine Skiing,211
927,63.0,Archery,84
928,63.0,Art Competitions,1
929,63.0,Athletics,1031
930,63.0,Badminton,36
931,63.0,Basketball,36
932,63.0,Beach Volleyball,2
933,63.0,Biathlon,86
934,63.0,Bobsleigh,8
935,63.0,Boxing,189
936,63.0,Canoeing,129
937,63.0,Cross Country Skiing,195
938,63.0,Curling,13
939,63.0,Cycling,221
940,63.0,Diving,50
941,63.0,Equestrianism,195
942,63.0,Fencing,192
943,63.0,Figure Skating,29
944,63.0,Football,99
945,63.0,Freestyle Skiing,30
946,63.0,Golf,4
947,63.0,Gymnastics,676
948,63.0,Handball,54
949,63.0,Hockey,144
950,63.0,Ice Hockey,63
951,63.0,Judo,158
952,63.0,Luge,21
953,63.0,Modern Pentathlon,29
954,63.0,Nordic Combined,79
955,63.0,Rhythmic Gymnastics,1
956,63.0,Rowing,20
957,63.0,Rugby Sevens,10
958,63.0,Sailing,120
959,63.0,Shooting,194
960,63.0,Short Track Speed Skating,88
961,63.0,Skeleton,2
962,63.0,Ski Jumping,110
