,Sport,Year,NOC,count
3484,Athletics,2008,LES,4
3485,Athletics,2008,LIB,2
3486,Athletics,2008,LIE,1
3487,Athletics,2008,LTU,18
3488,Athletics,2008,MAD,2
3489,Athletics,2008,MAR,27
3490,Athletics,2008,MAS,3
3491,Athletics,2008,MAW,2
3492,Athletics,2008,MDA,14
3493,Athletics,2008,MDV,2
3494,Athletics,2008,MEX,24
3495,Athletics,2008,MGL,2
3496,Athletics,2008,MHL,2
3497,Athletics,2008,MKD,2
3498,Athletics,2008,MLI,2
3499,Athletics,2008,MLT,2
3500,Athletics,2008,MNE,2
3501,Athletics,2008,MON,1
3502,Athletics,2008,MOZ,1
3503,Athletics,2008,MRI,3
3504,Athletics,2008,MTN,2
3505,Athletics,2008,MYA,2
3506,Athletics,2008,NAM,5
3507,Athletics,2008,NCA,2
3508,Athletics,2008,NED,15
3509,Athletics,2008,NEP,2
3510,Athletics,2008,NGR,33
3511,Athletics,2008,NIG,2
3512,Athletics,2008,NOR,11
3513,Athletics,2008,NZL,10
3514,Athletics,2008,OMA,2
3515,Athletics,2008,PAK,2
3516,Athletics,2008,PAN,2
3517,Athletics,2008,PAR,2
3518,Athletics,2008,PER,3
3519,Athletics,2008,PHI,2
3520,Athletics,2008,PLE,2
3521,Athletics,2008,PLW,2
3522,Athletics,2008,PNG,2
3523,Athletics,2008,POL,67
3524,Athletics,2008,POR,28
3525,Athletics,2008,PRK,6
3526,Athletics,2008,PUR,6
3527,Athletics,2008,QAT,14
3528,Athletics,2008,ROU,17
3529,Athletics,2008,RSA,26
3530,Athletics,2008,RUS,116
3531,Athletics,2008,RWA,2
3532,Athletics,2008,SAM,2
3533,Athletics,2008,SEN,3
3534,Athletics,2008,SEY,2
3535,Athletics,2008,SGP,2
3536,Athletics,2008,SKN,6
3537,Athletics,2008,SLE,2
3538,Athletics,2008,SLO,18
3539,Athletics,2008,SMR,1
3540,Athletics,2008,SOL,2
3541,Athletics,2008,SOM,2
3542,Athletics,2008,SRB,10
3543,Athletics,2008,SRI,2
3544,Athletics,2008,STP,2
3545,Athletics,2008,SUD,8
3546,Athletics,2008,SUI,7
3547,Athletics,2008,SUR,2
3548,Athletics,2008,SVK,18
3549,Athletics,2008,SWE,13
3550,Athletics,2008,SWZ,2
3551,Athletics,2008,SYR,2
3552,Athletics,2008,TAN,7
3553,Athletics,2008,TGA,2
3554,Athletics,2008,THA,12
3555,Athletics,2008,TJK,2
3556,Athletics,2008,TKM,2
3557,Athletics,2008,TLS,1
3558,Athletics,2008,TOG,1
3559,Athletics,2008,TPE,3
3560,Athletics,2008,TTO,29
3561,Athletics,2008,TUN,5
3562,Athletics,2008,TUR,16
3563,Athletics,2008,TUV,2
3564,Athletics,2008,UAE,1
3565,Athletics,2008,UGA,7
3566,Athletics,2008,UKR,72
3567,Athletics,2008,URU,3
3568,Athletics,2008,USA,138
3569,Athletics,2008,UZB,13
3570,Athletics,2008,VAN,2
3571,Athletics,2008,VEN,4
3572,Athletics,2008,VIE,2
3573,Athletics,2008,VIN,2
3574,Athletics,2008,YEM,2
3575,Athletics,2008,ZAM,2
3576,Athletics,2008,ZIM,7
