NOC,Sport,Unnamed: 0,count
ITA,Golf,12434,4
JPN,Golf,12435,4
KOR,Golf,12436,6
MAR,Golf,12437,1
MAS,Golf,12438,4
MEX,Golf,12439,3
NED,Golf,12440,1
NOR,Golf,12441,3
NZL,Golf,12442,3
PAR,Golf,12443,2
PHI,Golf,12444,1
POR,Golf,12445,2
RSA,Golf,12446,4
RUS,Golf,12447,1
SUI,Golf,12448,2
SWE,Golf,12449,4
THA,Golf,12450,4
TPE,Golf,12451,4
USA,Golf,12452,7
VEN,Golf,12453,1
ALG,Gymnastics,13089,10
ARG,Gymnastics,13090,5
ARM,Gymnastics,13091,6
AUS,Gymnastics,13092,2
AUT,Gymnastics,13093,4
AZE,Gymnastics,13094,12
BEL,Gymnastics,13095,20
BLR,Gymnastics,13096,10
BRA,Gymnastics,13097,46
CAN,Gymnastics,13098,25
CHI,Gymnastics,13099,6
CHN,Gymnastics,13100,45
COL,Gymnastics,13101,10
CRO,Gymnastics,13102,4
CUB,Gymnastics,13103,17
CYP,Gymnastics,13104,6
CZE,Gymnastics,13105,6
EGY,Gymnastics,13106,4
ESP,Gymnastics,13107,11
FIN,Gymnastics,13108,6
FRA,Gymnastics,13109,45
GBR,Gymnastics,13110,47
GER,Gymnastics,13111,45
GRE,Gymnastics,13112,3
GUA,Gymnastics,13113,4
HUN,Gymnastics,13114,6
IND,Gymnastics,13115,5
IRL,Gymnastics,13116,10
ISL,Gymnastics,13117,4
ISR,Gymnastics,13118,2
ITA,Gymnastics,13119,25
JAM,Gymnastics,13120,4
JPN,Gymnastics,13121,49
KOR,Gymnastics,13122,30
LTU,Gymnastics,13123,7
MEX,Gymnastics,13124,7
MON,Gymnastics,13125,6
NED,Gymnastics,13126,45
NOR,Gymnastics,13127,6
NZL,Gymnastics,13128,12
PAN,Gymnastics,13129,4
PER,Gymnastics,13130,4
POL,Gymnastics,13131,4
POR,Gymnastics,13132,4
PRK,Gymnastics,13133,3
ROU,Gymnastics,13134,12
RSA,Gymnastics,13135,6
RUS,Gymnastics,13136,52
SLO,Gymnastics,13137,1
SUI,Gymnastics,13138,34
SVK,Gymnastics,13139,4
SWE,Gymnastics,13140,4
TPE,Gymnastics,13141,1
TTO,Gymnastics,13142,4
TUR,Gymnastics,13143,10
UKR,Gymnastics,13144,33
USA,Gymnastics,13145,49
UZB,Gymnastics,13146,8
VEN,Gymnastics,13147,4
VIE,Gymnastics,13148,3
ANG,Handball,13331,15
ARG,Handball,13332,29
BRA,Handball,13333,28
CRO,Handball,13334,14
DEN,Handball,13335,14
EGY,Handball,13336,14
ESP,Handball,13337,14
FRA,Handball,13338,31
GER,Handball,13339,15
KOR,Handball,13340,15
MNE,Handball,13341,15
NED,Handball,13342,14
NOR,Handball,13343,14
POL,Handball,13344,15
QAT,Handball,13345,15
ROU,Handball,13346,14
RUS,Handball,13347,15
SLO,Handball,13348,17
SWE,Handball,13349,30
TUN,Handball,13350,15
ARG,Hockey,13611,34
AUS,Hockey,13612,32
BEL,Hockey,13613,16
BRA,Hockey,13614,16
CAN,Hockey,13615,16
CHN,Hockey,13616,17
ESP,Hockey,13617,33
GBR,Hockey,13618,33
GER,Hockey,13619,33
IND,Hockey,13620,32
IRL,Hockey,13621,16
JPN,Hockey,13622,16
KOR,Hockey,13623,16
NED,Hockey,13624,32
NZL,Hockey,13625,32
USA,Hockey,13626,16
AFG,Judo,14777,1
ALG,Judo,14778,5
AND,Judo,14779,1
ANG,Judo,14780,1
ARG,Judo,14781,2
ARM,Judo,14782,1
ARU,Judo,14783,1
ASA,Judo,14784,1
AUS,Judo,14785,7
AUT,Judo,14786,5
AZE,Judo,14787,6
BDI,Judo,14788,1
BEL,Judo,14789,5
BEN,Judo,14790,1
BIH,Judo,14791,1
BIZ,Judo,14792,1
BLR,Judo,14793,2
BOL,Judo,14794,1
BOT,Judo,14795,1
BRA,Judo,14796,14
BUL,Judo,14797,2
BUR,Judo,14798,1
CAN,Judo,14799,7
CGO,Judo,14800,1
CHI,Judo,14801,1
CHN,Judo,14802,8
CIV,Judo,14803,1
CMR,Judo,14804,1
COD,Judo,14805,1
COL,Judo,14806,2
CRC,Judo,14807,1
CRO,Judo,14808,1
CUB,Judo,14809,9
CZE,Judo,14810,3
DJI,Judo,14811,1
DOM,Judo,14812,1
ECU,Judo,14813,3
EGY,Judo,14814,5
ESA,Judo,14815,1
ESP,Judo,14816,5
EST,Judo,14817,1
FIJ,Judo,14818,1
FIN,Judo,14819,1
FRA,Judo,14820,14
GAB,Judo,14821,2
GAM,Judo,14822,1
GBR,Judo,14823,7
GBS,Judo,14824,1
GEO,Judo,14825,8
GER,Judo,14826,13
GHA,Judo,14827,1
GRE,Judo,14828,2
GUA,Judo,14829,1
GUI,Judo,14830,1
HAI,Judo,14831,1
HON,Judo,14832,1
HUN,Judo,14833,8
IND,Judo,14834,1
IRI,Judo,14835,2
IRQ,Judo,14836,1
ISL,Judo,14837,1
ISR,Judo,14838,7
ITA,Judo,14839,6
JOR,Judo,14840,1
JPN,Judo,14841,14
KAZ,Judo,14842,6
KEN,Judo,14843,1
KGZ,Judo,14844,2
KOR,Judo,14845,12
KOS,Judo,14846,2
KSA,Judo,14847,1
LAO,Judo,14848,1
LAT,Judo,14849,2
LBA,Judo,14850,1
LIB,Judo,14851,1
LTU,Judo,14852,1
MAD,Judo,14853,1
MAR,Judo,14854,3
MDA,Judo,14855,1
MEX,Judo,14856,2
MGL,Judo,14857,13
MKD,Judo,14858,1
MLI,Judo,14859,1
MNE,Judo,14860,1
MON,Judo,14861,1
MOZ,Judo,14862,1
MRI,Judo,14863,1
MYA,Judo,14864,1
NED,Judo,14865,11
NEP,Judo,14866,1
NIG,Judo,14867,1
NRU,Judo,14868,1
NZL,Judo,14869,1
PAK,Judo,14870,1
PER,Judo,14871,1
PHI,Judo,14872,1
PLE,Judo,14873,1
PNG,Judo,14874,1
POL,Judo,14875,4
POR,Judo,14876,6
PRK,Judo,14877,3
PUR,Judo,14878,2
QAT,Judo,14879,1
ROT,Judo,14880,2
ROU,Judo,14881,4
RSA,Judo,14882,1
RUS,Judo,14883,12
SAM,Judo,14884,1
SEN,Judo,14885,1
SEY,Judo,14886,1
SLO,Judo,14887,5
SRB,Judo,14888,1
SRI,Judo,14889,1
SUD,Judo,14890,1
SUI,Judo,14891,3
SUR,Judo,14892,1
SWE,Judo,14893,4
SYR,Judo,14894,1
TAN,Judo,14895,1
THA,Judo,14896,1
TJK,Judo,14897,2
TKM,Judo,14898,2
TPE,Judo,14899,2
TTO,Judo,14900,1
TUN,Judo,14901,4
TUR,Judo,14902,4
UAE,Judo,14903,3
UKR,Judo,14904,7
URU,Judo,14905,1
USA,Judo,14906,6
UZB,Judo,14907,8
VAN,Judo,14908,1
VEN,Judo,14909,1
VIE,Judo,14910,1
YEM,Judo,14911,1
ZAM,Judo,14912,1
ARG,Modern Pentathlon,15629,2
AUS,Modern Pentathlon,15630,2
BLR,Modern Pentathlon,15631,1
BRA,Modern Pentathlon,15632,2
BUL,Modern Pentathlon,15633,1
CAN,Modern Pentathlon,15634,2
CHN,Modern Pentathlon,15635,4
CUB,Modern Pentathlon,15636,2
CZE,Modern Pentathlon,15637,3
EGY,Modern Pentathlon,15638,3
FRA,Modern Pentathlon,15639,3
GBR,Modern Pentathlon,15640,4
GER,Modern Pentathlon,15641,4
GUA,Modern Pentathlon,15642,2
HUN,Modern Pentathlon,15643,4
IRL,Modern Pentathlon,15644,2
ITA,Modern Pentathlon,15645,4
JPN,Modern Pentathlon,15646,3
KAZ,Modern Pentathlon,15647,2
KOR,Modern Pentathlon,15648,3
LAT,Modern Pentathlon,15649,1
LTU,Modern Pentathlon,15650,3
