,Age,Sport,count
818,29.0,Cross Country Skiing,549
819,29.0,Curling,25
820,29.0,Cycling,401
821,29.0,Diving,77
822,29.0,Equestrianism,289
823,29.0,Fencing,607
824,29.0,Figure Skating,60
825,29.0,Football,220
826,29.0,Freestyle Skiing,38
827,29.0,Golf,10
828,29.0,Gymnastics,777
829,29.0,Handball,254
830,29.0,Hockey,319
831,29.0,Ice Hockey,320
832,29.0,Jeu De Paume,2
833,29.0,Judo,217
834,29.0,Lacrosse,2
835,29.0,Luge,53
836,29.0,Modern Pentathlon,135
837,29.0,Motorboating,3
838,29.0,Nordic Combined,51
839,29.0,Polo,2
840,29.0,Racquets,2
841,29.0,Rowing,515
842,29.0,Rugby,7
843,29.0,Rugby Sevens,20
844,29.0,Sailing,332
845,29.0,Shooting,429
846,29.0,Short Track Speed Skating,64
847,29.0,Skeleton,17
848,29.0,Ski Jumping,78
849,29.0,Snowboarding,43
850,29.0,Softball,24
851,29.0,Speed Skating,209
852,29.0,Swimming,239
853,29.0,Synchronized Swimming,19
854,29.0,Table Tennis,99
855,29.0,Taekwondo,24
856,29.0,Tennis,151
857,29.0,Trampolining,4
858,29.0,Triathlon,51
859,29.0,Tug-Of-War,14
860,29.0,Volleyball,161
861,29.0,Water Polo,229
862,29.0,Weightlifting,194
863,29.0,Wrestling,431
864,30.0,Alpine Skiing,172
865,30.0,Archery,74
866,30.0,Art Competitions,41
867,30.0,Athletics,1545
868,30.0,Badminton,84
869,30.0,Baseball,51
870,30.0,Basketball,189
871,30.0,Beach Volleyball,51
872,30.0,Biathlon,255
873,30.0,Bobsleigh,188
874,30.0,Boxing,101
875,30.0,Canoeing,273
876,30.0,Croquet,2
877,30.0,Cross Country Skiing,508
878,30.0,Curling,25
879,30.0,Cycling,342
880,30.0,Diving,55
881,30.0,Equestrianism,341
882,30.0,Fencing,482
883,30.0,Figure Skating,55
884,30.0,Football,176
885,30.0,Freestyle Skiing,36
886,30.0,Golf,12
887,30.0,Gymnastics,647
888,30.0,Handball,178
889,30.0,Hockey,251
890,30.0,Ice Hockey,288
891,30.0,Jeu De Paume,1
892,30.0,Judo,173
893,30.0,Lacrosse,4
894,30.0,Luge,42
895,30.0,Modern Pentathlon,79
896,30.0,Nordic Combined,32
897,30.0,Polo,4
898,30.0,Rhythmic Gymnastics,1
899,30.0,Rowing,412
900,30.0,Rugby,3
901,30.0,Rugby Sevens,15
902,30.0,Sailing,322
903,30.0,Shooting,421
904,30.0,Short Track Speed Skating,34
905,30.0,Skeleton,13
906,30.0,Ski Jumping,37
907,30.0,Snowboarding,32
908,30.0,Softball,23
909,30.0,Speed Skating,168
910,30.0,Swimming,151
911,30.0,Synchronized Swimming,7
912,30.0,Table Tennis,88
913,30.0,Taekwondo,16
914,30.0,Tennis,112
915,30.0,Trampolining,11
916,30.0,Triathlon,47
917,30.0,Tug-Of-War,7
918,30.0,Volleyball,166
919,30.0,Water Polo,164
920,30.0,Weightlifting,165
921,30.0,Wrestling,316
922,31.0,Alpine Skiing,145
923,31.0,Archery,60
924,31.0,Art Competitions,48
925,31.0,Athletics,1067
926,31.0,Badminton,43
927,31.0,Baseball,49
928,31.0,Basketball,153
929,31.0,Beach Volleyball,45
930,31.0,Biathlon,210
931,31.0,Bobsleigh,157
932,31.0,Boxing,57
933,31.0,Canoeing,213
934,31.0,Cricket,2
935,31.0,Cross Country Skiing,376
936,31.0,Curling,14
937,31.0,Cycling,350
938,31.0,Diving,41
939,31.0,Equestrianism,298
940,31.0,Fencing,499
941,31.0,Figure Skating,24
942,31.0,Football,123
943,31.0,Freestyle Skiing,33
944,31.0,Golf,13
945,31.0,Gymnastics,419
946,31.0,Handball,169
947,31.0,Hockey,205
948,31.0,Ice Hockey,218
949,31.0,Jeu De Paume,1
950,31.0,Judo,120
951,31.0,Lacrosse,1
952,31.0,Luge,38
953,31.0,Modern Pentathlon,82
954,31.0,Motorboating,2
955,31.0,Nordic Combined,18
956,31.0,Polo,5
957,31.0,Racquets,2
958,31.0,Rowing,290
959,31.0,Rugby,1
960,31.0,Rugby Sevens,13
961,31.0,Sailing,291
962,31.0,Shooting,463
963,31.0,Short Track Speed Skating,17
